Timestamp,PlaybackTime,VideoFrame,HeadYaw,HeadPitch,HeadRoll,GazeYaw,GazePitch,GazeRelativeH,GazeRelativeV,EyeHeadOffset,AbsoluteGazeYaw,AbsoluteGazePitch,LeftOpenness,RightOpenness,BlinkL,BlinkR,FaceIsValid,SmileL,SmileR,BrowDownL,BrowDownR,JawOpen,EyeClosedL,EyeClosedR,FaceActivity
0.2971,0.000,-1,4.8021,-13.1230,5.0153,5.4599,1.7236,0.6578,14.8465,14.8611,5.4599,1.7236,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3129,0.000,0,4.7950,-13.1019,5.0046,5.7158,1.6673,0.9208,14.7692,14.7979,5.7158,1.6673,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3267,0.000,0,4.7934,-13.0855,4.9850,5.7158,1.6673,0.9224,14.7528,14.7816,5.7158,1.6673,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3392,0.000,0,4.7937,-13.0704,4.9745,5.7158,1.6673,0.9221,14.7377,14.7666,5.7158,1.6673,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3533,0.000,0,4.7936,-13.0635,4.9633,5.9050,0.9449,1.1114,14.0084,14.0525,5.9050,0.9449,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3660,0.000,0,4.7913,-13.0595,4.9612,5.9050,0.9449,1.1138,14.0044,14.0487,5.9050,0.9449,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3810,0.000,0,4.7850,-13.0597,4.9733,6.1984,0.9289,1.4134,13.9886,14.0598,6.1984,0.9289,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.3950,0.000,0,4.7800,-13.0577,4.9773,6.1984,0.9289,1.4184,13.9866,14.0584,6.1984,0.9289,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4095,0.000,0,4.7734,-13.0504,4.9828,6.1984,0.9289,1.4251,13.9793,14.0518,6.1984,0.9289,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4224,0.000,0,4.7662,-13.0425,4.9863,8.9760,1.4530,4.2098,14.4955,15.0945,8.9760,1.4530,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4352,0.000,0,4.7585,-13.0351,4.9962,8.9760,1.4530,4.2175,14.4882,15.0896,8.9760,1.4530,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4498,0.000,0,4.7487,-13.0269,5.0024,8.9022,2.2165,4.1535,15.2434,15.7991,8.9022,2.2165,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4641,0.000,0,4.7390,-13.0143,5.0063,8.9022,2.2165,4.1633,15.2307,15.7895,8.9022,2.2165,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
0.4784,0.000,0,4.7346,-13.0047,5.0043,9.2360,2.2270,4.5014,15.2317,15.8829,9.2360,2.2270,0.8305,0.8182,0,0,1,0.000,0.000,0.216,0.198,0.011,0.002,0.014,0.0691
