Timestamp,PlaybackTime,VideoFrame,GazeDir.x,GazeDir.y,GazeDir.z,GazeOrigin.x,GazeOrigin.y,GazeOrigin.z,GazeYaw,GazePitch,LeftPupilDiam_NA,RightPupilDiam_NA,LeftOpenness,RightOpenness,BlinkL,BlinkR,LidTightenerL,LidTightenerR,UpperLidRaiserL,UpperLidRaiserR,LeftConfidence,RightConfidence,IsFixating,FixationDurationMs,BothEyesValid
0.2971,0.000,-1,0.095105,0.030078,0.995013,-0.079820,1.097135,-0.245630,5.4599,1.7236,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.3129,0.000,0,0.099551,0.029096,0.994607,-0.079722,1.097046,-0.245480,5.7158,1.6673,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,15.7,1
0.3267,0.000,0,0.099551,0.029096,0.994607,-0.079722,1.097046,-0.245480,5.7158,1.6673,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,29.5,1
0.3392,0.000,0,0.099551,0.029096,0.994607,-0.079722,1.097046,-0.245480,5.7158,1.6673,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,42.1,1
0.3533,0.000,0,0.102866,0.016491,0.994559,-0.079602,1.096958,-0.245328,5.9050,0.9449,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.3660,0.000,0,0.102866,0.016491,0.994559,-0.079602,1.096958,-0.245328,5.9050,0.9449,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.3810,0.000,0,0.107958,0.016212,0.994023,-0.079551,1.096932,-0.245156,6.1984,0.9289,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,15.0,1
0.3950,0.000,0,0.107958,0.016212,0.994023,-0.079551,1.096932,-0.245156,6.1984,0.9289,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,29.1,1
0.4095,0.000,0,0.107958,0.016212,0.994023,-0.079551,1.096932,-0.245156,6.1984,0.9289,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,43.6,1
0.4224,0.000,0,0.155971,0.025358,0.987436,-0.079524,1.096953,-0.244987,8.9760,1.4530,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.4352,0.000,0,0.155971,0.025358,0.987436,-0.079524,1.096953,-0.244987,8.9760,1.4530,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.4498,0.000,0,0.154633,0.038675,0.987215,-0.079498,1.096955,-0.244812,8.9022,2.2165,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.4641,0.000,0,0.154633,0.038675,0.987215,-0.079498,1.096955,-0.244812,8.9022,2.2165,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.4784,0.000,0,0.160381,0.038859,0.986290,-0.079451,1.096941,-0.244616,9.2360,2.2270,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,14.3,1
0.4924,0.000,0,0.160381,0.038859,0.986290,-0.079451,1.096941,-0.244616,9.2360,2.2270,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,28.3,1
0.5062,0.000,0,0.160381,0.038859,0.986290,-0.079451,1.096941,-0.244616,9.2360,2.2270,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,42.1,1
0.5199,0.000,0,0.163879,-0.007248,0.986454,-0.079488,1.096943,-0.244500,9.4324,-0.4153,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.5337,0.000,0,0.163879,-0.007248,0.986454,-0.079488,1.096943,-0.244500,9.4324,-0.4153,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.5488,0.000,0,0.170898,-0.028454,0.984878,-0.079539,1.096920,-0.244389,9.8440,-1.6305,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.5629,0.000,0,0.170898,-0.028454,0.984878,-0.079539,1.096920,-0.244389,9.8440,-1.6305,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.5763,0.000,0,0.165369,-0.035606,0.985589,-0.079528,1.096832,-0.244277,9.5247,-2.0405,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,0,0.0,1
0.5886,0.000,0,0.165369,-0.035606,0.985589,-0.079528,1.096832,-0.244277,9.5247,-2.0405,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,0.0,1
0.6024,0.000,0,0.165369,-0.035606,0.985589,-0.079528,1.096832,-0.244277,9.5247,-2.0405,-1.0000,-1.0000,0.8305,0.8182,0,0,0.7271,0.7282,0.0148,0.0000,0.9980,0.9980,1,13.8,1
