Timestamp,PlaybackTime,VideoFrame,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z,EulerYaw,EulerPitch,EulerRoll,VelYaw,VelPitch,VelRoll
0.2971,0.000,-1,-0.112239,0.046575,0.048211,0.991418,-0.079773,1.097995,-0.245640,4.8021,-13.1230,5.0153,0.2518,0.9078,-0.2709
0.3129,0.000,0,-0.112064,0.046496,0.048105,0.991446,-0.079731,1.097972,-0.245569,4.7950,-13.1019,5.0046,-0.4519,1.3353,-0.6789
0.3267,0.000,0,-0.111931,0.046457,0.047928,0.991472,-0.079692,1.097940,-0.245502,4.7934,-13.0855,4.9850,-0.1171,1.1881,-1.4231
0.3392,0.000,0,-0.111804,0.046444,0.047832,0.991491,-0.079656,1.097914,-0.245434,4.7937,-13.0704,4.9745,0.0230,1.2015,-0.8395
0.3533,0.000,0,-0.111749,0.046431,0.047734,0.991503,-0.079645,1.097923,-0.245360,4.7936,-13.0635,4.9633,-0.0042,0.4935,-0.7915
0.3660,0.000,0,-0.111716,0.046407,0.047712,0.991509,-0.079637,1.097939,-0.245288,4.7913,-13.0595,4.9612,-0.1841,0.3149,-0.1703
0.3810,0.000,0,-0.111715,0.046365,0.047810,0.991506,-0.079624,1.097963,-0.245218,4.7850,-13.0597,4.9733,-0.4167,-0.0102,0.8053
0.3950,0.000,0,-0.111699,0.046325,0.047839,0.991508,-0.079624,1.097970,-0.245154,4.7800,-13.0577,4.9773,-0.3554,0.1391,0.2862
0.4095,0.000,0,-0.111636,0.046270,0.047879,0.991516,-0.079628,1.097971,-0.245094,4.7734,-13.0504,4.9828,-0.4572,0.5042,0.3822
0.4224,0.000,0,-0.111569,0.046209,0.047899,0.991526,-0.079644,1.097966,-0.245039,4.7662,-13.0425,4.9863,-0.5580,0.6143,0.2694
0.4352,0.000,0,-0.111504,0.046149,0.047975,0.991532,-0.079625,1.097956,-0.244956,4.7585,-13.0351,4.9962,-0.6018,0.5762,0.7696
0.4498,0.000,0,-0.111435,0.046068,0.048016,0.991542,-0.079597,1.097949,-0.244867,4.7487,-13.0269,5.0024,-0.6687,0.5625,0.4241
0.4641,0.000,0,-0.111328,0.045983,0.048037,0.991557,-0.079587,1.097944,-0.244798,4.7390,-13.0143,5.0063,-0.6824,0.8846,0.2744
0.4784,0.000,0,-0.111248,0.045940,0.048012,0.991569,-0.079606,1.097948,-0.244755,4.7346,-13.0047,5.0043,-0.3057,0.6688,-0.1370
0.4924,0.000,0,-0.111135,0.045868,0.048022,0.991584,-0.079629,1.097946,-0.244710,4.7265,-12.9914,5.0068,-0.5784,0.9500,0.1778
0.5062,0.000,0,-0.111000,0.045777,0.048018,0.991604,-0.079647,1.097934,-0.244664,4.7165,-12.9754,5.0080,-0.7221,1.1593,0.0872
0.5199,0.000,0,-0.110858,0.045674,0.048058,0.991622,-0.079677,1.097913,-0.244618,4.7045,-12.9587,5.0147,-0.8785,1.2232,0.4865
0.5337,0.000,0,-0.110671,0.045603,0.048087,0.991645,-0.079700,1.097887,-0.244575,4.6966,-12.9369,5.0197,-0.5763,1.5752,0.3602
0.5488,0.000,0,-0.110488,0.045532,0.048066,0.991670,-0.079724,1.097856,-0.244533,4.6893,-12.9154,5.0189,-0.4812,1.4214,-0.0520
0.5629,0.000,0,-0.110270,0.045434,0.047997,0.991702,-0.079702,1.097797,-0.244486,4.6796,-12.8895,5.0128,-0.6867,1.8457,-0.4310
0.5763,0.000,0,-0.110035,0.045334,0.047909,0.991737,-0.079685,1.097726,-0.244438,4.6701,-12.8615,5.0048,-0.7130,2.0886,-0.5982
0.5886,0.000,0,-0.109706,0.045199,0.047891,0.991780,-0.079712,1.097667,-0.244397,4.6559,-12.8229,5.0056,-1.1517,3.1312,0.0672
0.6024,0.000,0,-0.109402,0.045143,0.047926,0.991815,-0.079750,1.097597,-0.244355,4.6502,-12.7877,5.0115,-0.4113,2.5465,0.4292
0.6173,0.000,0,-0.109022,0.045048,0.047969,0.991859,-0.079781,1.097530,-0.244310,4.6400,-12.7438,5.0192,-0.6806,2.9508,0.5146
0.6307,0.000,0,-0.108705,0.044958,0.048005,0.991896,-0.079800,1.097478,-0.244262,4.6304,-12.7069,5.0257,-0.7185,2.7455,0.4833
0.6464,0.000,0,-0.108363,0.044920,0.047927,0.991939,-0.079825,1.097446,-0.244217,4.6283,-12.6670,5.0183,-0.1313,2.5566,-0.4706
0.6595,0.000,0,-0.108020,0.044862,0.047802,0.991985,-0.079860,1.097412,-0.244168,4.6247,-12.6266,5.0057,-0.2794,3.0602,-0.9547
0.6729,0.000,0,-0.107585,0.044797,0.047672,0.992042,-0.079907,1.097375,-0.244113,4.6205,-12.5757,4.9930,-0.3129,3.8303,-0.9591
0.6866,0.000,0,-0.106979,0.044690,0.047681,0.992111,-0.079960,1.097316,-0.244061,4.6104,-12.5054,4.9976,-0.7292,5.0951,0.3345
0.6991,0.000,0,-0.106366,0.044544,0.047770,0.992180,-0.080001,1.097242,-0.244013,4.5948,-12.4345,5.0121,-1.2577,5.6912,1.1610
0.7146,0.000,0,-0.105695,0.044428,0.047775,0.992256,-0.080042,1.097143,-0.243971,4.5840,-12.3567,5.0166,-0.6980,5.0177,0.2937
0.7285,0.000,0,-0.105016,0.044316,0.047788,0.992333,-0.080075,1.097047,-0.243926,4.5736,-12.2781,5.0220,-0.7468,5.6513,0.3858
0.7429,0.000,0,-0.104288,0.044353,0.047743,0.992410,-0.080114,1.096938,-0.243879,4.5815,-12.1944,5.0189,0.5500,5.8114,-0.2150
